company_id,company_name,domain,company_found,company_match_status,company_match_score,decision_maker_name,decision_maker_title,linkedin_url,work_email,work_email_status,personal_email,personal_email_status,mobile_phone,direct_phone,automation_detected,automation_evidence,automation_confidence,automation_check_status,eligible,skipped_reason,credits_used,api_status,error
2361,Archdata EDV und Consulting für Architekten und Ingenieure,archdata.de,yes,,0.0,,,,,,,,,,no,"Unser Ziel ... Kunden in den Bereichen CAD, AVA, Datenbanken, Netzwerken und Internet optimal zu unterstützen und Lösungen anzubieten ... Netzwerk-Management, Datenbank-Management, Office u. Büroverwaltung, Web-Design incl. CMS Systeme",hoch,checked,yes,,0,error_400,FullEnrich antwortet mit 400 (people/search): json: cannot unmarshal string into Go struct field SearchPeopleRequest.current_company_domains of type apiv2.StringFilter
4449,ATeNe GmbH,atene-gmbh.de,yes,,0.0,,,,,,,,,,no,"Fördermittelberatung, technische Unternehmensberatung, keine Erwähnung von Geschäftsprozess-Automatisierung oder KI-Lösungen als Dienstleistung",hoch,checked,yes,,0,error_400,FullEnrich antwortet mit 400 (people/search): json: cannot unmarshal string into Go struct field SearchPeopleRequest.current_company_domains of type apiv2.StringFilter
4515,Blue Ant Multi-Projektmanagementsoftware,blueant.de,yes,,0.0,,,,,,,,,,no,"Projektmanagement-Software mit KI-Unterstützung für fundierte Entscheidungen, keine ausdrückliche Automatisierungs-Dienstleistung für Kunden angeboten",hoch,checked,yes,,0,error_400,FullEnrich antwortet mit 400 (people/search): json: cannot unmarshal string into Go struct field SearchPeopleRequest.current_company_domains of type apiv2.StringFilter
704,coders.win,coders.win,yes,,0.0,,,,,,,,,,no,"Die Firma beschreibt sich als Softwareentwickler und E-Commerce-Agentur, spezialisiert auf individuelle Website-Entwicklung und Nutzung von Frameworks wie Laravel, Shopify, React. Es gibt keine Hinweise auf das Angebot von Geschäftsprozess-Automatisierung, RPA, KI-Dienstleistungen oder Workflow-Auto",hoch,checked,yes,,0,error_400,FullEnrich antwortet mit 400 (people/search): json: cannot unmarshal string into Go struct field SearchPeopleRequest.current_company_domains of type apiv2.StringFilter
4569,Enigma Software GmbH,enigma-software.de,no,,0.0,,,,,,,,,,no,,hoch,uncertain,no,automation_uncertain,0,skipped_no_api_call,
1742,Genia-Sec IT-Sicherheitsmanagement GmbH,genia-sec.de,yes,,0.0,,,,,,,,,,no,"Typische Tätigkeiten aus diesem Bereich sind beispielsweise: Penetrationstests und Security Audits, Planung, Einrichtung und Betrieb von Firewall-Systemen, Aufbau und Integration von Zertifikatsinfrastrukturen, Sichere Authentifizierung und Verschlüsselung, Einrichten von sicheren IT-Prozessen und V",hoch,checked,yes,,0,error_400,FullEnrich antwortet mit 400 (people/search): json: cannot unmarshal string into Go struct field SearchPeopleRequest.current_company_domains of type apiv2.StringFilter
228,kleinert-pcservice,kleinert-pcservice.de,yes,,0.0,,,,,,,,,,no,,hoch,checked,yes,,0,error_400,FullEnrich antwortet mit 400 (people/search): json: cannot unmarshal string into Go struct field SearchPeopleRequest.current_company_domains of type apiv2.StringFilter
1874,KOMMA-D ® GmbH | Webdesign | E-Commerce | Full Stack Developement,komma-d.de,no,,0.0,,,,,,,,,,yes,"KI-Anwendungen, Ki Entwicklung/Implementierung; Prozesse zu digitalisieren; KI, Automatisierung und agentische Commerce-Features in den Mittelpunkt stellen",hoch,checked,no,automation_provider,0,skipped_no_api_call,
2483,NITEFLITE interaktiv,niteflite.com,yes,,0.0,,,,,,,,,,no,"Als Informationsarchitekten stellen wir sicher, dass Ihre Web-Applikationen ... benutzerfreundlichen Struktur optimal auf Ihre Zielgruppe ausgerichtet ist. / Dienstleistungsangebot umfasst auch ... Administration und laufende Überwachung der IT-Systeme.",hoch,checked,yes,,0,error_400,FullEnrich antwortet mit 400 (people/search): json: cannot unmarshal string into Go struct field SearchPeopleRequest.current_company_domains of type apiv2.StringFilter
1392,powerBridge Computervertrieb,powerbridge.de,yes,,0.0,,,,,,,,,,no,"powerBridge Computer liefert Computersysteme, Industriecomputer, Kommunikationssysteme, FPGA-Lösungen, Treiber- und Betriebssystem-Software; keine Hinweise auf Automatisierungs- oder KI-Dienstleistungen für Kunden",hoch,checked,yes,,0,error_400,FullEnrich antwortet mit 400 (people/search): json: cannot unmarshal string into Go struct field SearchPeopleRequest.current_company_domains of type apiv2.StringFilter
